Location,Latitude,Longitude
Santa Fe,35.6869752,-105.937799
Williamsburg,37.2707022,-76.7074578
Sacramento,38.5810606,-121.4938951
Gettysburg,39.8133329,-77.2322223
Chicago,41.8781136,-87.6297982
New York City,40.7127281,-74.0060152
Houston,29.7589382,-95.3676974
San Francisco,37.7749295,-122.4194155
Boston,42.3602534,-71.0582912
Denver,39.7392358,-104.990251
Charleston,32.7764749,-79.9310512
Montgomery,32.3792233,-86.3077368
Kennedy Space Center,28.5728722,-80.6489808
Palo Alto,37.4418834,-122.1430195
Hollywood,34.0928092,-118.3286614
Philadelphia,39.9525839,-75.1652215
Fairbanks,64.837845,-147.716675
Richmond,37.5407246,-77.4360481
Washington D.C.,38.89511,-77.03637
Cape Canaveral,28.3922186,-80.6077132
New Orleans,29.9510658,-90.0715323
Arlington,38.8903961,-77.0841585
Tombstone,31.7124,-110.0673
Salem,44.9439938,-123.033361
St. Louis,38.6268039,-90.1994097
Dodge City,37.7527982,-100.0170795
Seattle,47.6062095,-122.3320708
