Location,Latitude,Longitude
Musée d'Archéologie Nationale Saint-Germain-en-Laye,48.9014,2.1034
Musée du Louvre Paris,48.8606,2.3376
Musée de Cluny Paris,48.8494,2.3447
Basilica of Saint-Denis Saint-Denis,48.9350,2.3592
Musée Carnavalet Paris,48.8567,2.3632
Château de Castelnaud Castelnaud-la-Chapelle,44.8445,1.1529
Palace of Versailles Versailles,48.8049,2.1204
Musée de l'Armée Paris,48.8558,2.3128
Musée Gallo-Romain de Lyon-Fourvière Lyon,45.7627,4.8224
Musée des Antiquités de la Seine-Maritime Rouen,49.4394,1.0877
Cathédrale Notre-Dame de Chartres Chartres,48.4474,1.4875
Musée d'Orsay Paris,48.8606,2.3259
Musée des Arts Décoratifs Paris,48.8639,2.3285
Musée des Années 30 Boulogne-Billancourt,48.8331,2.2486
Musée de la Résistance Nationale Champigny-sur-Marne,48.8174,2.5046
Monnaie de Paris Paris,48.8564,2.3395
Cinémathèque Française Paris,48.8372,2.3875
