Location,Latitude,Longitude
Magadh,25.1557,85.9980
Sarnath,25.3714,83.0248
Thanjavur,10.7869,79.1378
Hampi,15.3350,76.4600
Agra,27.1767,78.0081
Jaipur,26.9124,75.7873
Kolkata,22.5726,88.3639
Mohenjo-daro,27.3352,68.1407
Amaravati,16.5735,80.3575
Ellora,20.0266,75.1778
Delhi,28.7041,77.1025
Pune,18.5204,73.8567
Mumbai,19.0760,72.8777
Harappa,30.6228,72.9811
Sanchi,23.4823,77.7375
Belur,13.1665,75.8604
Old Delhi,28.6585,77.2315
Kolkata,22.5726,88.3639
Kozhikode,11.2588,75.7804
Mysore,12.2958,76.6394
Calcutta,22.5726,88.3639
Amritsar,31.6330,74.8723
Goa,15.2993,74.1240
Pataliputra,25.5941,85.1376
Thanjavur,10.7869,79.1378
Harappa,30.6228,72.9811
Amaravati,16.5735,80.3575
Badami,15.9167,75.6833
Halebidu,13.2215,75.9995
Agra,27.1767,78.0081
Amritsar,31.6330,74.8723
Delhi,28.7041,77.1025
Varanasi,25.3176,82.9739
Sarnath,25.3714,83.0248
Thanjavur,10.7869,79.1378
Hampi,15.3350,76.4600
Agra,27.1767,78.0081
Shimla,31.1048,77.1734
Jaipur,26.9124,75.7873
Pataliputra,25.5941,85.1376
Ajanta,20.5517,75.7037
Kanchipuram,12.8430,79.6912
Hampi,15.3350,76.4600
Agra,27.1767,78.0081
Shimla,31.1048,77.1734
Patna,25.5941,85.1376
Ajanta Caves,20.5517,75.7037
Thanjavur,10.7869,79.1378
Hampi,15.3350,76.4600
Delhi,28.7041,77.1025
London,51.5074,0.1278
Delhi,28.7041,77.1025
Taxila,33.7430,72.8258
Ujjain,23.1793,75.7849
Tanjore,10.7869,79.1378
Hampi,15.3350,76.4600
Agra,27.1767,78.0081
London,51.5074,0.1278
